id;kecamatan_id;nama;kodepos;;
1;1;bulakan;42426;;['id'=>'1','kecamatan_id'=>'1','nama'=>'bulakan','kodepos'=>'42426'],
2;1;cibeber;42423;;['id'=>'2','kecamatan_id'=>'1','nama'=>'cibeber','kodepos'=>'42423'],
3;1;cikerai;42427;;['id'=>'3','kecamatan_id'=>'1','nama'=>'cikerai','kodepos'=>'42427'],
4;1;kalitimbang;42424;;['id'=>'4','kecamatan_id'=>'1','nama'=>'kalitimbang','kodepos'=>'42424'],
5;1;karang asem;42425;;['id'=>'5','kecamatan_id'=>'1','nama'=>'karang asem','kodepos'=>'42425'],
6;1;kedaleman;42422;;['id'=>'6','kecamatan_id'=>'1','nama'=>'kedaleman','kodepos'=>'42422'],
7;2;bagendung;42419;;['id'=>'7','kecamatan_id'=>'2','nama'=>'bagendung','kodepos'=>'42419'],
8;2;bendungan;42417;;['id'=>'8','kecamatan_id'=>'2','nama'=>'bendungan','kodepos'=>'42417'],
9;2;ciwaduk;42415;;['id'=>'9','kecamatan_id'=>'2','nama'=>'ciwaduk','kodepos'=>'42415'],
10;2;ciwedus;42418;;['id'=>'10','kecamatan_id'=>'2','nama'=>'ciwedus','kodepos'=>'42418'],
11;2;ketileng;42416;;['id'=>'11','kecamatan_id'=>'2','nama'=>'ketileng','kodepos'=>'42416'],
12;3;citangkil;42441;;['id'=>'12','kecamatan_id'=>'3','nama'=>'citangkil','kodepos'=>'42441'],
13;3;dringo (deringo);42444;;['id'=>'13','kecamatan_id'=>'3','nama'=>'dringo (deringo)','kodepos'=>'42444'],
14;3;kebonsari;42442;;['id'=>'14','kecamatan_id'=>'3','nama'=>'kebonsari','kodepos'=>'42442'],
15;3;lebak denok;42442;;['id'=>'15','kecamatan_id'=>'3','nama'=>'lebak denok','kodepos'=>'42442'],
16;3;samangraya;42443;;['id'=>'16','kecamatan_id'=>'3','nama'=>'samangraya','kodepos'=>'42443'],
17;3;taman baru;42441;;['id'=>'17','kecamatan_id'=>'3','nama'=>'taman baru','kodepos'=>'42441'],
18;3;warnasari;42443;;['id'=>'18','kecamatan_id'=>'3','nama'=>'warnasari','kodepos'=>'42443'],
19;4;banjar negara;42441;;['id'=>'19','kecamatan_id'=>'4','nama'=>'banjar negara','kodepos'=>'42441'],
20;4;gunung sugih;42447;;['id'=>'20','kecamatan_id'=>'4','nama'=>'gunung sugih','kodepos'=>'42447'],
21;4;kepuh;42446;;['id'=>'21','kecamatan_id'=>'4','nama'=>'kepuh','kodepos'=>'42446'],
22;4;kubangsari;42445;;['id'=>'22','kecamatan_id'=>'4','nama'=>'kubangsari','kodepos'=>'42445'],
23;4;randakari;42446;;['id'=>'23','kecamatan_id'=>'4','nama'=>'randakari','kodepos'=>'42446'],
24;4;tegal ratu;42445;;['id'=>'24','kecamatan_id'=>'4','nama'=>'tegal ratu','kodepos'=>'42445'],
25;5;gerem;42438;;['id'=>'25','kecamatan_id'=>'5','nama'=>'gerem','kodepos'=>'42438'],
26;5;grogol;42436;;['id'=>'26','kecamatan_id'=>'5','nama'=>'grogol','kodepos'=>'42436'],
27;5;kotasari;42436;;['id'=>'27','kecamatan_id'=>'5','nama'=>'kotasari','kodepos'=>'42436'],
28;5;rawa arum;42436;;['id'=>'28','kecamatan_id'=>'5','nama'=>'rawa arum','kodepos'=>'42436'],
29;6;gedong dalem;42413;;['id'=>'29','kecamatan_id'=>'6','nama'=>'gedong dalem','kodepos'=>'42413'],
30;6;jombang wetan;42411;;['id'=>'30','kecamatan_id'=>'6','nama'=>'jombang wetan','kodepos'=>'42411'],
31;6;masigit;42414;;['id'=>'31','kecamatan_id'=>'6','nama'=>'masigit','kodepos'=>'42414'],
32;6;panggung rawi;42412;;['id'=>'32','kecamatan_id'=>'6','nama'=>'panggung rawi','kodepos'=>'42412'],
33;6;sukmajaya;42416;;['id'=>'33','kecamatan_id'=>'6','nama'=>'sukmajaya','kodepos'=>'42416'],
34;7;lebakgede;42431;;['id'=>'34','kecamatan_id'=>'7','nama'=>'lebakgede','kodepos'=>'42431'],
35;7;mekarsari;42438;;['id'=>'35','kecamatan_id'=>'7','nama'=>'mekarsari','kodepos'=>'42438'],
36;7;suralaya;42439;;['id'=>'36','kecamatan_id'=>'7','nama'=>'suralaya','kodepos'=>'42439'],
37;7;tamansari;42438;;['id'=>'37','kecamatan_id'=>'7','nama'=>'tamansari','kodepos'=>'42438'],
38;8;kebon dalem;42433;;['id'=>'38','kecamatan_id'=>'8','nama'=>'kebon dalem','kodepos'=>'42433'],
39;8;kotabumi;42434;;['id'=>'39','kecamatan_id'=>'8','nama'=>'kotabumi','kodepos'=>'42434'],
40;8;pabean;42437;;['id'=>'40','kecamatan_id'=>'8','nama'=>'pabean','kodepos'=>'42437'],
41;8;purwakarta;42437;;['id'=>'41','kecamatan_id'=>'8','nama'=>'purwakarta','kodepos'=>'42437'],
42;8;ramanuju;42431;;['id'=>'42','kecamatan_id'=>'8','nama'=>'ramanuju','kodepos'=>'42431'],
43;8;tegal bunder;42437;;['id'=>'43','kecamatan_id'=>'8','nama'=>'tegal bunder','kodepos'=>'42437'],
44;9;bendungan;42355;;['id'=>'44','kecamatan_id'=>'9','nama'=>'bendungan','kodepos'=>'42355'],
45;9;bojongjuruh;42355;;['id'=>'45','kecamatan_id'=>'9','nama'=>'bojongjuruh','kodepos'=>'42355'],
46;9;cibaturkeusik;42355;;['id'=>'46','kecamatan_id'=>'9','nama'=>'cibaturkeusik','kodepos'=>'42355'],
47;9;cidahu;42355;;['id'=>'47','kecamatan_id'=>'9','nama'=>'cidahu','kodepos'=>'42355'],
48;9;cilegongilir;42355;;['id'=>'48','kecamatan_id'=>'9','nama'=>'cilegongilir','kodepos'=>'42355'],
